"Isolate","level 1","level 2","level 3","level 4","level 5","level 6"
"G1188",1,3,28,94,101,92
"G1190",4,13,48,97,102,93
"G1191",2,4,10,60,97,94
"G1192",2,4,10,59,44,35
"G1195",1,3,26,41,34,26
"G1198",1,3,26,41,34,26
"G1199",1,3,29,100,103,97
"G119",2,5,15,103,104,98
"G1200",1,3,29,100,103,97
"G1201",1,2,7,21,92,89
"G1202",3,10,25,71,106,99
"G1204",3,10,23,36,27,101
"G120",3,10,24,39,110,103
"G122",3,9,22,83,80,104
"G1238FE28",2,5,12,23,14,106
"G123",3,10,23,37,60,108
"G1243",1,3,26,41,35,64
"G1246",2,4,9,14,8,111
"G124",1,1,1,3,115,112
"G1258",3,10,23,36,27,102
"G125",1,2,6,10,116,113
"G1261",2,4,9,17,118,114
"G1268",4,14,51,107,119,115
"G1269",4,14,51,107,119,115
"G126",2,4,10,60,98,116
"G1270",3,10,23,36,26,82
"G1272",1,2,6,11,120,117
"G1273",3,8,19,112,123,121
"G1274",4,12,45,80,72,62
"G1277",3,9,21,31,22,43
"G1279",2,4,10,59,45,85
"G127",3,8,19,113,124,122
"G1280",2,6,35,48,126,123
"G1285",2,4,10,59,45,86
"G1286",2,4,9,16,88,83
"G1288m",1,2,8,63,68,124
"G128",3,10,23,36,27,102
"G1293",2,6,36,116,127,126
"G1296",4,12,44,57,129,127
"G1302m",2,5,15,104,130,128
"G1303",2,5,16,121,132,129
"G1304",3,9,22,84,135,130
"G1305",3,9,22,84,135,130
"G1308",2,4,9,14,8,111
"G1309",3,9,22,85,136,131
"G130",1,2,7,20,10,132
"G1310",3,9,22,85,136,131
"G1312",4,11,31,46,139,134
"G1314",3,10,24,39,111,136
"G1315",1,2,6,11,120,118
"G1316",1,2,7,22,142,137
"G1318",1,2,7,22,142,137
"G1320",3,10,23,37,58,51
"G1321",3,10,25,71,106,100
"G1322",3,10,25,70,53,48
"G1323",4,14,51,108,146,138
"G1325",4,11,31,46,140,139
"G1327",3,10,23,36,28,140
"G1328",4,11,33,124,149,144
"G1329",4,14,51,108,146,138
"G1332",1,1,4,126,151,146
"G1334",2,4,10,59,45,86
"G1342",1,2,6,10,116,113
"G1344",3,10,25,71,107,147
"G1347",1,2,6,8,5,149
"G1349",2,7,41,76,152,150
"G1350",3,10,23,37,58,50
"G1351",2,4,10,60,99,151
"G1353m",4,12,44,57,129,127
"G1354",1,2,8,64,153,154
"G1355",4,14,51,107,119,115
"G1356",1,3,28,95,156,156
"G1357m",1,3,26,41,35,63
"G1358",1,1,1,4,157,157
"G1359",2,4,10,60,99,152
"G135",2,6,35,47,37,28
"G1360",3,10,25,70,54,158
"G1364",1,1,5,128,158,159
"G1365",3,8,17,28,159,160
"G1366",4,14,52,130,162,161
"G1367",1,2,8,64,154,162
"G1368",3,10,25,69,50,163
"G1369",2,6,37,134,163,166
"G1375",3,10,25,69,49,40
"G1376",3,10,23,36,28,141
"G1378",2,4,10,60,96,91
"G1379",3,10,23,36,27,102
"G137",4,12,45,81,165,167
"G139",3,9,21,32,85,75
"G1403",3,10,25,70,55,168
"G1404",2,4,10,59,44,36
"G1407",3,10,23,36,27,101
"G1411",1,2,8,63,68,124
"G1420",3,10,25,70,54,158
"G1421",1,3,28,96,166,171
"G1422",1,2,7,20,11,172
"G1428",1,2,7,22,143,174
"G1429",2,4,10,59,45,85
"G142",3,10,23,37,61,175
"G1431",4,15,54,137,168,180
"G1432",2,4,9,17,118,114
"G1433",3,9,21,31,22,46
"G1437",3,10,23,37,61,176
"G1438",2,6,36,117,170,181
"G1439",1,2,6,11,121,183
"G143",2,5,15,105,172,186
"G1440",3,9,21,32,86,80
"G1446",4,11,32,93,174,187
"G1447",3,10,25,70,55,168
"G1449",2,5,13,33,23,20
"G144",1,2,6,11,122,188
"G1452",4,13,49,140,175,190
"G1458",2,5,12,23,15,191
"G1459",2,6,36,117,171,193
"G145",2,4,9,14,7,5
"G1461",2,5,15,106,176,195
"G1465",4,14,52,131,178,197
"G1467",2,4,10,59,45,85
"G1469",3,10,24,39,112,198
"G146m",3,10,23,37,59,72
"G1471_NOSIP",1,2,6,8,4,3
"G1474_NOSIP",1,2,6,8,4,4
"G1476",2,4,11,143,180,202
"G147",1,2,6,10,117,203
"G1481",1,2,8,65,183,204
"G1484m",1,2,6,12,184,205
"G1487",2,4,10,59,45,85
"G1489",2,4,10,59,45,85
"G1492",2,7,42,146,186,207
"G1494",3,8,19,112,123,121
"G1495",3,8,19,112,123,121
"G1496",2,4,10,60,99,152
"G1497",2,4,10,60,98,116
"G1498",3,10,24,40,188,208
"G1499",2,4,9,15,70,59
"G149m",1,3,26,43,77,209
"G1500FE27",2,7,40,55,191,212
"G1501FE36",3,10,23,36,26,82
"G1505",1,2,6,8,6,213
"G1506",1,2,6,8,6,213
"G1507",3,8,18,91,193,214
"G1509",3,10,25,70,55,168
"G150m",4,11,31,46,141,216
"G1512",1,3,26,43,77,210
"G1513",1,2,7,20,12,217
"G1514",3,10,25,71,107,148
"G1516",1,3,26,41,34,26
"G1517",3,8,19,113,125,219
"G1518",2,6,37,135,195,221
"G1519m",4,11,34,149,196,222
"G151",1,2,6,11,121,184
"G1520",1,2,6,13,197,223
"G1521",3,9,22,85,137,224
"G1522",1,3,30,151,200,226
"G1523",1,3,26,41,34,26
"G1524",3,10,23,37,60,109
"G1525",3,8,19,113,125,219
"G1528",1,3,26,41,34,26
"G152",2,6,36,118,201,227
"G1530",2,4,9,15,70,59
"G1532",2,7,41,77,202,228
"G1533",1,2,7,21,93,229
"G1536",3,10,25,72,203,231
"G1537",2,5,12,23,14,106
"G1538",1,2,6,8,4,4
"G1539",1,2,6,11,121,184
"G1542",4,14,51,109,206,232
"G1543",3,10,25,69,49,41
"G1544",2,4,10,59,44,34
"G1545",1,1,1,2,83,73
"G1546",1,2,6,11,120,119
"G1557",2,5,15,103,104,98
"G1558",2,4,9,18,207,233
"G1562",3,9,22,83,79,68
"G1563",3,9,21,31,22,44
"G1564",3,10,24,39,113,234
"G1566",1,2,6,11,122,188
"G1567",1,3,28,94,101,92
"G1568",4,13,48,98,210,235
"G1570",2,5,16,121,133,236
"G1571",2,5,13,33,23,20
"G1573",3,9,22,85,137,225
"G1576",3,10,23,37,60,109
"G1577",2,4,9,14,8,111
"G1578",2,5,16,121,133,236
"G1579",3,9,22,85,137,225
"G1581",4,13,49,141,211,237
"G1582",1,1,1,1,2,71
"G1583",2,4,10,60,97,94
"G1585",2,5,15,106,176,195
"G1586",3,10,23,36,28,142
"G1590",1,2,6,13,198,238
"G1603",2,5,13,33,23,20
"G1604",2,4,11,144,212,241
"G1607",1,2,6,11,120,119
"G1609",1,3,26,41,34,26
"G1610",2,5,13,33,23,20
"G1611",3,9,21,31,21,16
"G1612",1,3,26,42,73,66
"G1613",4,11,34,149,196,222
"G1614",2,6,38,153,214,242
"G1615m",2,4,10,60,99,151
"G1616",1,3,27,67,48,39
"G1617",2,4,11,143,180,202
"G1618",4,12,46,155,215,243
"G1619",4,12,45,82,216,244
"G1620",3,9,22,83,80,105
"G1621",3,8,19,112,123,121
"G1627",1,2,7,21,93,229
"G1628",3,9,22,83,80,105
"G1630",2,4,10,59,44,34
"G1631",3,8,17,26,19,245
"G1633",4,14,53,156,219,247
"G1634",3,9,22,85,136,131
"G1635",3,8,19,113,125,219
"G1636",3,10,24,40,189,248
"G1637",3,9,22,86,222,251
"G1638",3,10,25,71,107,148
"G1644",1,2,7,20,10,133
"G1646",1,3,26,43,77,209
"G1647",4,11,34,149,196,222
"G1648",3,10,25,69,50,164
"G164",2,5,12,24,224,252
"G1651",3,10,23,37,61,177
"G1652",3,10,25,71,108,254
"G1653",3,10,25,69,50,164
"G1654",2,4,10,59,45,85
"G1657",1,3,26,41,35,64
"G165",1,2,6,13,199,255
"G1660",2,7,40,55,191,212
"G1661",2,4,10,60,97,95
"G1663",3,10,23,36,28,140
"G1664",3,9,21,31,22,43
"G166",3,9,21,31,22,46
"G1671",2,4,10,59,45,85
"G1672",1,3,29,101,226,256
"G1675",3,9,22,86,223,257
"G1676",1,2,6,10,117,203
"G1678",3,9,21,31,22,46
"G167",1,2,7,20,9,8
"G1683",4,15,55,158,227,258
"G1684",1,3,26,43,78,259
"G1685",4,15,54,138,228,260
"G1686",1,3,28,95,156,156
"G1687",2,4,10,59,44,37
"G168",2,5,12,24,224,252
"G1693",2,4,10,60,97,95
"G1697",3,9,22,83,79,69
"G1700",3,10,25,69,51,261
"G1701",2,4,10,59,44,34
"G1702",4,14,53,156,220,263
"G1703",1,2,7,20,9,7
"G1704",2,4,11,144,212,241
"G1705",2,7,42,146,186,207
"G1708",3,10,23,37,60,108
"G1711",3,9,21,32,87,264
"G1713",1,3,26,41,35,63
"G1715",2,5,15,106,176,196
"G1716m",1,3,26,41,35,65
"G1717",1,2,7,20,9,9
"G1718",3,9,22,83,80,104
"G1724",3,9,21,31,22,44
"G1725",2,5,14,50,39,29
"G1726",3,10,25,70,55,169
"G1727",3,10,24,38,29,23
"G1728",2,6,36,117,171,194
"G1731",2,5,12,23,13,12
"G1732",2,5,13,33,23,20
"G1733",3,8,18,91,194,266
"G1736",3,8,18,90,90,84
"G1739",2,4,9,18,207,233
"G1740",4,12,46,155,215,243
"G1741",2,6,35,49,229,268
"G1742",3,10,24,39,113,234
"G1743",2,5,12,23,15,191
"G1745m",2,6,36,119,231,269
"G1747",3,10,23,37,59,72
"G1750",4,15,54,139,232,270
"G1751",3,10,23,37,61,178
"G1752m",1,2,8,62,65,271
"G1753",3,8,17,26,18,14
"G1754",3,9,21,31,22,46
"G1756m",3,8,19,114,233,272
"G1757",3,8,18,91,193,215
"G1758",3,10,23,36,28,140
"G1759",3,10,25,69,50,165
"G1760",3,10,25,70,56,273
"G1761",3,10,23,37,59,72
"G1762",4,11,31,46,139,135
"G1763",2,4,9,18,208,275
"G1764",1,2,6,13,197,223
"G1765",2,6,36,117,171,193
"G1766",3,10,25,69,49,40
"G1767",2,6,36,116,128,276
"G1768",1,2,6,11,120,119
"G1769",2,4,9,18,208,275
"G176",3,9,21,31,21,17
"G1770",3,9,21,31,22,44
"G1772",3,9,21,31,21,17
"G1773",1,3,26,43,77,211
"G1774",2,4,10,59,46,277
"G1775",1,2,6,9,62,53
"G1777m",1,2,6,11,121,184
"G1778",1,2,6,11,121,183
"G177m",3,8,20,160,235,279
"G1780",1,2,8,66,236,280
"G1782",3,10,24,39,112,199
"G1783",1,2,6,8,4,3
"G1784",2,5,14,51,238,281
"G1785",3,10,25,69,50,164
"G1786",2,5,12,23,14,106
"G1787",2,4,11,145,239,282
"G1788",1,2,6,13,198,239
"G1791",3,8,18,91,193,214
"G1792",1,2,6,10,117,203
"G1795",3,9,21,32,85,76
"G1799",3,10,23,37,60,108
"G1801",2,5,12,23,15,191
"G1803",3,8,18,91,193,214
"G1805",3,10,23,37,60,109
"G180m",4,14,51,108,147,283
"G1817",3,9,22,85,138,285
"G1818",3,9,22,85,138,285
"G1819",4,14,53,156,219,247
"G1821",2,4,11,144,212,241
"G1822",3,8,19,115,240,286
"G1823",2,5,13,33,23,20
"G1824",3,9,21,32,85,77
"G1825",2,5,13,34,40,30
"G1826",4,13,48,98,210,235
"G1827",2,5,12,23,14,107
"G1828m",1,2,7,20,9,8
"G1829",1,2,6,10,117,203
"G182",1,3,26,43,78,259
"G1831",3,10,23,37,61,175
"G1835",4,15,56,161,241,287
"G1836",1,2,8,64,155,288
"G1837",3,8,19,115,240,286
"G1839",3,10,23,37,58,50
"G183",2,7,41,76,152,150
"G1841",2,6,36,116,128,276
"G1842",1,2,6,9,62,53
"G1849m",2,6,37,134,164,290
"G1850",2,6,36,117,171,193
"G1851",4,15,56,161,242,292
"G1852",3,10,25,69,49,42
"G1853",2,4,9,18,209,293
"G1854",2,4,10,59,45,87
"G1855m",2,4,9,14,7,5
"G1857m",4,14,51,110,243,294
"G1858m",1,2,7,22,144,295
"G1859",2,5,13,33,23,20
"G1860",1,2,7,20,9,9
"G1861",3,9,22,86,222,251
"G1862",2,4,11,144,212,241
"G1863",1,3,29,100,103,97
"G1864",1,2,7,20,9,9
"G1865",4,12,45,82,217,297
"G1866m",4,13,49,140,175,190
"G1867m",1,2,7,21,93,230
"G1868m",2,4,9,15,70,59
"G1869m",1,3,29,100,103,97
"G186",4,15,56,162,245,298
"G1870",2,6,36,117,170,182
"G1885",2,5,12,23,16,299
"G1889",2,6,39,163,246,300
"G1892",2,7,41,78,248,302
"G1893",1,3,26,42,73,66
"G1896m",3,10,23,36,26,82
"G1898",3,8,19,115,240,286
"G1900",3,10,25,71,108,254
"G1906",3,9,22,85,137,224
"G1907",2,4,10,60,99,153
"G1908",1,2,7,20,11,172
"G190",2,4,9,15,71,303
"G1910",1,2,7,20,12,217
"G1911",3,10,23,37,60,108
"G1912",2,7,41,77,202,228
"G1913",3,10,25,70,55,169
"G1914",4,11,34,150,249,306
"G1915",1,1,4,127,250,307
"G1916",1,1,4,127,250,307
"G1918",1,1,1,2,84,308
"G191",2,6,36,117,171,193
"G1920",1,3,26,43,77,209
"G1921",3,10,23,36,28,140
"G1922",1,1,4,126,151,146
"G1923",2,5,15,104,130,128
"G1924",3,8,17,28,160,309
"G1925",1,1,4,126,151,146
"G1926",3,10,25,71,107,147
"G192",1,2,6,12,184,205
"G1932",3,8,17,26,18,15
"G1934",2,4,10,59,45,85
"G1935",2,4,9,19,251,310
"G1936",3,10,23,36,28,140
"G1938",2,5,16,122,252,311
"G1939",2,6,39,163,246,300
"G1940",2,4,11,145,239,282
"G1941",1,1,1,1,2,71
"G1942",3,10,25,71,109,312
"G1943",2,7,42,147,253,314
"G1944",3,8,17,26,20,315
"G1945",4,14,53,157,254,316
"G1946",2,6,36,118,201,227
"G1948",2,4,10,59,45,87
"G1953",2,5,12,25,256,317
"G1954",3,10,24,39,112,199
"G1955",4,12,45,82,218,320
"G1956",4,13,49,142,261,321
"G1957",3,10,23,36,25,31
"G1958",2,5,12,24,224,252
"G1962",3,8,17,26,19,246
"G1964",1,3,26,41,35,63
"G1965",4,11,32,93,174,187
"G1966",3,9,22,87,262,322
"G1967",2,4,10,60,99,151
"G1968",2,6,36,117,171,194
"G1969",4,14,52,130,162,161
"G196",4,11,31,46,139,135
"G1970",1,2,7,20,9,9
"G1971",3,10,24,39,111,136
"G1972",1,2,6,11,120,118
"G1983m",2,4,11,144,212,241
"G1984",2,4,9,16,89,323
"G1985",2,5,12,23,15,192
"G1986",2,4,11,144,212,241
"G1988",4,11,33,125,263,324
"G1989",2,4,10,60,100,325
"G1992",3,10,24,38,30,326
"G1994",2,4,10,60,99,152
"G1996",3,10,23,37,61,178
"G1997",1,2,7,20,9,8
"G1998",2,5,13,34,41,328
"G1999",4,13,50,165,264,329
"G19",3,9,21,32,86,79
"G2002",1,2,6,11,120,118
"G200",3,8,17,29,265,330
"G2015",3,10,25,70,55,170
"G2016",2,6,37,136,266,331
"G2017",2,5,12,25,256,318
"G2019",1,2,6,11,122,189
"G201",2,5,13,33,23,20
"G2020",2,4,11,144,212,241
"G2022",3,10,23,37,61,178
"G2023m",2,4,11,144,212,241
"G2024",1,1,2,6,267,332
"G2026",2,6,37,134,164,290
"G2027",1,2,7,20,9,7
"G2029",2,4,10,59,45,85
"G202",4,12,44,58,268,333
"G2030",3,10,25,71,106,99
"G2031m",2,6,35,49,230,334
"G2033",2,6,36,120,269,335
"G2034",4,12,45,82,216,244
"G2036",1,2,8,63,69,336
"G2037",2,4,10,59,44,35
"G2038",1,2,8,63,69,336
"G2039",2,5,15,106,177,338
"G2041",1,2,8,63,69,336
"G2042",1,3,26,42,74,339
"G2044",2,4,10,59,44,35
"G2048",2,5,14,52,270,340
"G2049",1,2,8,63,69,336
"G204",3,9,21,32,85,75
"G2051",3,10,25,70,56,273
"G2052",2,4,10,59,46,278
"G2054m",3,10,25,69,50,165
"G2055m",3,10,23,37,60,108
"G2057",3,10,23,37,61,178
"G2059",1,2,6,9,62,53
"G205",3,9,21,31,22,43
"G2062",2,5,13,35,271,341
"G2063",3,10,25,70,56,274
"G2064",2,5,15,105,172,186
"G2065",2,4,9,18,207,233
"G2066",3,8,17,28,159,160
"G2070",2,5,12,23,16,299
"G2071",2,5,12,25,256,317
"G2072",2,6,36,117,171,194
"G2074",2,4,10,59,46,278
"G2075",3,10,25,69,49,40
"G2079",3,10,23,37,59,72
"G2080",3,10,25,71,108,254
"G2081",3,10,23,37,61,178
"G2083",2,6,36,117,171,194
"G2089",4,14,51,108,147,284
"G208",2,6,39,163,247,342
"G2090",3,10,23,36,26,82
"G2091",3,9,22,84,135,130
"G2092",2,5,12,25,256,318
"G2093",1,2,6,11,120,118
"G2095",1,1,4,127,250,307
"G2096",1,3,28,96,166,171
"G2097",1,3,28,94,101,92
"G2098",3,9,22,83,80,105
"G2099",3,9,21,31,21,16
"G209",4,14,51,110,244,343
"G2101",4,11,33,125,263,324
"G2102",3,10,25,72,203,231
"G2103",3,9,22,86,222,251
"G2104",4,14,51,109,206,232
"G2105",1,2,6,10,117,203
"G2107",4,11,31,46,141,216
"G2112",3,9,21,32,87,265
"G2114",3,9,21,31,22,45
"G2117",3,10,24,40,189,249
"G2119",2,6,36,119,231,269
"G211",3,10,25,71,107,147
"G2120",3,9,21,31,21,16
"G2121",3,10,24,40,189,248
"G2125",2,5,12,23,13,12
"G2128",2,7,42,148,272,344
"G212",2,4,10,59,45,88
"G2130",2,5,13,33,23,20
"G2133",2,5,16,121,132,129
"G2134",2,4,10,59,45,88
"G2135",3,10,24,38,29,23
"G2136",3,9,21,31,21,18
"G2137",2,5,15,106,176,195
"G2138",3,10,23,37,61,178
"G213",2,6,35,48,126,123
"G2143",2,4,11,144,212,241
"G2144",2,6,35,47,38,345
"G2145",2,4,10,59,45,85
"G2146",3,9,21,32,87,264
"G2147",2,5,12,23,17,346
"G2148m",2,6,35,49,229,268
"G214",2,5,15,104,131,347
"G2151",3,10,23,36,27,101
"G2152",2,5,15,106,176,196
"G2154",3,10,25,69,52,348
"G2155m",2,4,11,144,213,349
"G2156",3,8,17,28,159,160
"G2160",3,10,25,69,52,348
"G2162",4,13,50,165,264,329
"G2163m",3,9,22,85,137,224
"G2164",3,10,25,69,51,261
"G2165",4,11,31,45,36,27
"G2166",1,2,8,64,155,288
"G2167",3,10,25,70,56,273
"G2168",1,2,8,64,154,162
"G2169",3,8,17,30,274,350
"G216",1,3,26,42,75,351
"G2171",1,2,7,22,144,295
"G2172",3,8,17,30,274,350
"G2173",2,5,12,25,256,319
"G2174",2,5,12,25,256,318
"G2176m",2,5,12,23,13,12
"G2177",3,10,24,38,30,326
"G2178m",3,8,17,26,18,13
"G2179",1,1,5,128,158,159
"G217",1,3,26,41,34,26
"G2180",2,4,9,15,71,303
"G2181",3,10,24,40,188,208
"G2182",3,8,19,113,125,220
"G2184",4,14,51,110,243,294
"G2185",4,15,56,161,242,292
"G2186",2,6,36,120,269,335
"G2187",2,4,9,15,70,60
"G2188",2,4,10,59,46,277
"G2190",1,3,29,100,103,97
"G2191",3,10,25,71,109,313
"G2192",3,10,25,70,56,273
"G2193",1,2,8,63,69,337
"G2194",1,3,26,43,76,67
"G2195",1,2,7,20,9,8
"G2196",2,6,39,164,275,352
"G2197m",1,2,8,63,69,337
"G2198",1,2,8,63,69,337
"G2199",3,10,25,70,53,47
"G2200",2,6,36,120,269,335
"G2201",1,2,8,63,69,337
"G2202",3,10,23,37,61,177
"G2203",4,14,51,108,147,283
"G2204",3,10,23,36,28,141
"G2206",3,9,21,31,22,46
"G2209",2,4,11,144,212,241
"G2211",2,5,12,25,257,353
"G2213",4,12,45,82,216,244
"G2214",1,2,8,66,236,280
"G2215",2,4,9,14,8,111
"G2218",1,2,7,20,9,9
"G2220",1,2,7,21,94,354
"G2222",2,6,36,116,127,126
"G2225",1,3,26,41,35,64
"G2226",1,2,6,11,120,119
"G2227",1,2,7,22,144,296
"G2228",1,1,1,1,1,1
"G2229",1,1,1,1,1,1
"G222",3,9,21,31,21,19
"G2230",3,8,19,112,123,121
"G2231",3,8,19,114,234,355
"G2232",3,10,23,37,61,178
"G2233",3,10,23,36,25,31
"G2234",3,10,23,36,25,31
"G2235",3,10,25,70,54,158
"G2236",3,10,23,36,25,31
"G2237",4,13,47,89,276,356
"G2238",3,8,18,90,90,84
"G2239",1,3,26,41,35,64
"G2241",4,13,47,89,276,356
"G2243",1,3,27,67,48,39
"G2244",3,10,23,36,25,31
"G2245",4,14,52,131,178,197
"G2246",2,4,9,15,70,61
"G2248",3,10,23,37,58,50
"G2249",2,5,16,122,252,311
"G224",1,2,7,20,9,8
"G2252",3,10,24,38,31,357
"G2254",1,3,26,44,277,358
"G2255",1,3,26,44,277,358
"G2258",2,6,38,154,278,359
"G2259",2,5,12,25,258,360
"G2261",2,5,12,25,258,360
"G2263",1,3,26,44,277,358
"G2264",1,2,8,61,47,38
"G2265",1,3,26,43,78,259
"G2266",1,2,6,8,5,149
"G2267",2,4,10,59,45,85
"G226",3,10,23,36,28,143
"G2271",3,10,23,37,58,51
"G2273",2,5,13,33,23,20
"G2275",3,9,21,32,85,77
"G2276",3,9,21,31,21,16
"G2278",3,9,21,31,21,16
"G2279",1,2,6,11,120,119
"G227",3,9,22,85,137,224
"G2280",1,2,6,13,198,240
"G2281",1,1,4,127,250,307
"G2284",3,8,19,113,125,219
"G2289",2,6,38,154,278,359
"G228",3,9,21,32,85,75
"G2290",3,10,23,37,60,108
"G2291",2,6,38,154,278,359
"G2292",4,13,49,142,261,321
"G2293",2,6,38,154,278,359
"G2294",1,3,30,151,200,226
"G2295",2,6,37,134,164,291
"G2296",2,6,36,117,171,193
"G2297",1,2,8,64,155,288
"G2298",2,6,37,134,164,291
"G229",3,8,17,26,19,246
"G22",1,1,1,2,84,308
"G2300m",4,12,45,82,217,297
"G2301",4,13,48,99,279,361
"G2302",4,13,50,166,280,362
"G2305",2,4,10,59,44,37
"G2306",1,3,30,151,200,226
"G2307",3,9,21,32,85,76
"G2308m",4,14,52,132,282,363
"G2309",1,3,30,151,200,226
"G2310",1,2,8,64,153,155
"G2312",2,4,11,143,181,364
"G2313",2,4,10,59,45,85
"G2314",2,5,12,23,13,12
"G2316",2,5,15,103,105,365
"G2318",2,5,15,103,105,365
"G2319",2,5,15,105,172,186
"G2326",1,3,30,151,200,226
"G2328",3,8,17,28,161,366
"G2332",3,8,17,28,161,366
"G2334",3,9,21,31,21,16
"G2336",1,2,7,20,9,8
"G2338",2,4,9,14,7,6
"G233",3,10,25,70,53,48
"G2341",1,3,26,44,277,358
"G2343Lib2",3,10,23,37,60,108
"G2344",1,3,30,151,200,226
"G2345",2,4,10,59,45,85
"G2347",2,4,9,18,209,293
"G2371m",2,4,10,59,45,85
"G237",1,2,6,11,121,184
"G2383",3,9,21,31,21,16
"G2386",3,10,25,70,55,170
"G2397",1,2,6,11,121,185
"G2407",1,2,8,61,47,38
"G2410",4,14,51,110,244,343
"G2411",1,2,6,11,121,185
"G2413",3,10,25,69,49,40
"G2414",1,2,8,64,155,289
"G2415",2,4,11,143,182,367
"G2416",2,5,15,106,176,195
"G2417",3,10,24,40,188,208
"G2418",4,13,50,166,281,368
"G2420",1,2,7,21,92,89
"G2423",1,3,26,41,34,26
"G242",4,14,52,131,179,369
"G2430",1,3,28,96,166,171
"G2435",1,1,3,74,283,370
"G2436",2,4,10,60,100,325
"G243",2,5,12,25,259,371
"G2443",2,4,9,17,118,114
"G2447",1,2,7,22,144,296
"G2450",2,7,40,55,191,212
"G2451",1,1,3,74,283,370
"G2452",3,8,19,114,233,272
"G2456",1,3,27,67,48,39
"G2457",1,3,27,67,48,39
"G2458m",3,10,24,38,30,326
"G2459m",3,10,24,38,30,326
"G245m",4,14,52,133,285,372
"G2460",2,5,15,106,176,195
"G2462",1,3,28,94,101,92
"G2463",2,7,42,146,187,373
"G2464",1,2,8,62,66,374
"G2465m",1,2,8,66,237,375
"G2466",3,10,24,38,30,327
"G2468",2,4,10,59,45,85
"G2469",1,2,8,66,237,375
"G246",2,4,9,19,251,310
"G2470",4,15,54,137,168,180
"G2471",4,15,55,159,286,376
"G2472",4,11,33,124,149,144
"G2475",1,2,8,63,67,57
"G2476",3,10,24,38,30,327
"G2477",4,11,31,46,139,134
"G2478",2,4,10,60,96,91
"G2479",3,9,21,31,21,16
"G247",3,9,21,31,21,18
"G2481",1,2,7,20,11,173
"G2483m",1,2,7,20,11,173
"G2485",2,4,11,144,213,349
"G2486",3,10,23,37,61,177
"G2490",1,3,29,102,287,377
"G2491",2,4,10,60,98,116
"G2496",3,10,23,37,58,52
"G2497",2,7,41,79,288,378
"G2498m",1,2,8,63,67,57
"G249",1,2,6,13,198,238
"G24",3,8,17,27,32,24
"G2500",3,9,22,85,138,285
"G2501",3,9,22,85,137,225
"G250",3,10,23,37,61,175
"G2511",3,10,23,36,28,142
"G2512",2,5,12,24,225,379
"G251",1,2,6,12,184,206
"G2526",1,2,6,11,120,120
"G2527",3,10,23,36,28,141
"G2532",1,2,6,13,198,239
"G2534",2,4,10,60,97,94
"G2535",1,2,8,64,153,155
"G253",3,8,19,114,234,355
"G2541",2,7,43,168,289,380
"G2547",2,5,16,123,290,381
"G255",3,9,21,32,85,75
"G2567",2,5,16,121,133,236
"G2571",1,2,7,22,145,382
"G2579",1,2,7,22,145,382
"G257",2,7,41,78,248,302
"G2580",2,5,13,35,271,341
"G2581",3,9,21,32,85,77
"G258",2,4,9,14,8,111
"G259",2,4,10,59,45,85
"G25",4,15,54,137,168,180
"G2602",2,5,15,104,131,347
"G2603",1,2,6,11,121,185
"G2606",1,2,8,65,183,204
"G2607",2,4,9,17,118,114
"G260",3,10,23,37,58,50
