ID,Genotipo
G2174,5
G2176m,5
G2211,5
G2249,5
G2259,5
G2261,5
G2273,5
G2314,5
G2316,5
G2318,5
G2319,5
G2416,5
G243,5
G2460,5
G2512,5
G2547,5
G2567,5
G2580,5
G2602,5
G2631,5
G2632,5
G2641,5
G2654,5
G2671,5
G2704,5
G2706,5
G2707,5
G2779,5
G2789,5
G2798Lib2,5
G2801,5
G2805,5
G2809,5
G280,5
G2822,5
G2843,5
G2894,5
G2920,5
G2965,5
G2970,5
G2971,5
G2978,5
G2982,5
G3003,5
G3062,5
G453m,5
G525m,5
G561m,5
G60,5
G621m,5
G623m,5
G637m,5
G669,5
G694m,5
G757m,5
G778m,5
G826m,5
G856m,5
G879m,5
G882m,5
G901,5
G917,5
G922,5
G945,5
G984,5
G1022,6
G1280,6
G1293,6
G135,6
G1369,6
G1438,6
G1459,6
G1518,6
G152,6
G1614,6
G1728,6
G1741,6
G1745m,6
G1765,6
G1767,6
G1841,6
G1849m,6
G1850,6
G1870,6
G1889,6
G191,6
G1939,6
G1946,6
G1968,6
G2016,6
G2026,6
G2031m,6
G2033,6
G2072,6
G2083,6
G208,6
G2119,6
G213,6
G2144,6
G2148m,6
G2186,6
G2196,6
G2200,6
G2222,6
G2258,6
G2289,6
G2291,6
G2293,6
G2295,6
G2296,6
G2298,6
G2653,6
G2669,6
G2684,6
G2780,6
G2796,6
G3060,6
G307m,6
G308m,6
G314m,6
G459m,6
G478m,6
G536m,6
G579,6
G63,6
G642,6
G682,6
G733,6
G768m,6
G78,6
G979,6
G1043,7
G1093m,7
G1349,7
G1492,7
G1500FE27,7
G1532,7
G1660,7
G1705,7
G183,7
G1892,7
G1912,7
G1943,7
G2128,7
G2450,7
G2463,7
G2497,7
G2541,7
G257,7
G2875,7
G2911,7
G3073,7
G581m,7
G630m,7
G810m,7
G818m,7
G851m,7
G891,7
G1009,8
G1018,8
G1161,8
G1273,8
G127,8
G1365,8
G1494,8
G1495,8
G1507,8
G1517,8
G1525,8
G1621,8
G1631,8
G1635,8
G1733,8
G1736,8
G1753,8
G1756m,8
G1757,8
G177m,8
G1791,8
G1803,8
G1822,8
G1837,8
G1898,8
G1924,8
G1932,8
G1944,8
G1962,8
G200,8
G2066,8
G2156,8
G2169,8
G2172,8
G2178m,8
G2182,8
G2230,8
G2231,8
G2238,8
G2284,8
G229,8
G2328,8
G2332,8
G2452,8
G24,8
G253,8
G261,8
G2626,8
G2650,8
G268,8
G2830,8
G318,8
G393m,8
G440,8
G482m,8
G551m,8
G564m,8
G577,8
G583m,8
G661m,8
G85,8
G871m,8
G91,8
G995,8
G1010,9
G1063,9
G1089,9
G1105m,9
G1128,9
G1144,9
G1154,9
G1156,9
G122,9
G1277,9
G1304,9
G1305,9
G1309,9
G1310,9
G139,9
G1433,9
G1440,9
G1521,9
G1562,9
G1563,9
G1573,9
G1579,9
G1611,9
G1620,9
G1628,9
G1634,9
G1637,9
G1664,9
G166,9
G1675,9
G1678,9
G1697,9
G1711,9
G1718,9
G1724,9
G1754,9
G176,9
G1770,9
G1772,9
G1795,9
G1817,9
G1818,9
G1824,9
G1861,9
G1906,9
G1966,9
G19,9
G204,9
G205,9
G2091,9
G2098,9
G2099,9
G2103,9
G2112,9
G2114,9
G2120,9
G2136,9
G2146,9
G2163m,9
G2206,9
G222,9
G2275,9
G2276,9
G2278,9
G227,9
G228,9
G2307,9
G2334,9
G2383,9
G2479,9
G247,9
G2500,9
G2501,9
G255,9
G2581,9
G2622,9
G2638,9
G2645,9
G2668,9
G2688,9
G2705,9
G2791,9
G2806,9
G2807,9
G2827,9
G302m,9
G317m,9
G377,9
G409,9
G471m,9
G654m,9
G770m,9
G883,9
G885,9
G940,9
G951,9
G958,9
G989,9
G1015,10
G1017,10
G103,10
G1062m,10
G1065,10
G1068,10
G108,10
G1141,10
G1158m,10
G1202,10
G1204,10
G120,10
G123,10
G1258,10
G1270,10
G128,10
G1314,10
G1320,10
G1321,10
G1322,10
G1327,10
G1344,10
G1350,10
G1360,10
G1368,10
G1375,10
G1376,10
G1379,10
G1403,10
G1407,10
G1420,10
G142,10
G1437,10
G1447,10
G1469,10
G146m,10
G1498,10
G1501FE36,10
G1509,10
G1514,10
G1524,10
G1536,10
G1543,10
G1564,10
G1576,10
G1586,10
G1636,10
G1638,10
G1648,10
G1651,10
G1652,10
G1653,10
G1663,10
G1700,10
G1708,10
G1726,10
G1727,10
G1742,10
G1747,10
G1751,10
G1758,10
G1759,10
G1760,10
G1761,10
G1766,10
G1782,10
G1785,10
G1799,10
G1805,10
G1831,10
G1839,10
G1852,10
G1896m,10
G1900,10
G1911,10
G1913,10
G1921,10
G1926,10
G1936,10
G1942,10
G1954,10
G1957,10
G1971,10
G1992,10
G1996,10
G2015,10
G2022,10
G2030,10
G2051,10
G2054m,10
G2055m,10
G2057,10
G2063,10
G2075,10
G2079,10
G2080,10
G2081,10
G2090,10
G2102,10
G2117,10
G211,10
G2121,10
G2135,10
G2138,10
G2151,10
G2154,10
G2160,10
G2164,10
G2167,10
G2177,10
G2181,10
G2191,10
G2192,10
G2199,10
G2202,10
G2204,10
G2232,10
G2233,10
G2234,10
G2235,10
G2236,10
G2244,10
G2248,10
G2252,10
G226,10
G2271,10
G2290,10
G233,10
G2343Lib2,10
G2386,10
G2413,10
G2417,10
G2458m,10
G2459m,10
G2466,10
G2476,10
G2486,10
G2496,10
G250,10
G2511,10
G2527,10
G260,10
G2612,10
G2623,10
G2648,10
G2709,10
G2730,10
G2740,10
G2749,10
G2761,10
G2767,10
G2772,10
G2773,10
G2783,10
G2804,10
G2831,10
G2867,10
G290m,10
G2953,10
G2954,10
G2962,10
G3077,10
G322m,10
G337,10
G351,10
G395m,10
G402m,10
G406m,10
G408m,10
G419m,10
G431m,10
G435m,10
G439m,10
G444,10
G450m,10
G454m,10
G465,10
G469m,10
G474m,10
G497m,10
G500m,10
G512m,10
G538m,10
G549m,10
G565m,10
G580m,10
G58,10
G594m,10
G650,10
G675,10
G788FE29,10
G79,10
G820,10
G832m,10
G835m,10
G839m,10
G848m,10
G84,10
G850m,10
G861m,10
G89,10
G934,10
G94,10
G975,10
G976,10
G977,10
G990,10
G991,10
G992,10
G99,10
G101,11
G1180,11
G1181,11
G1312,11
G1325,11
G1328,11
G1446,11
G150m,11
G1519m,11
G1613,11
G1647,11
G1762,11
G1914,11
G1965,11
G196,11
G1988,11
G2101,11
G2107,11
G2165,11
G2472,11
G2477,11
G2725,11
G2743,11
G2828,11
G2856,11
G405m,11
G407m,11
G76,11
G81,11
G868m,11
G919,11
G926,11
G1056,12
G1107,12
G1274,12
G1296,12
G1353m,12
G137,12
G1618,12
G1619,12
G1740,12
G1865,12
G1955,12
G202,12
G2034,12
G2213,12
G2300m,12
G3004,12
G348m,12
G584m,12
G878,12
G1133m,13
G1190,13
G1452,13
G1568,13
G1581,13
G1826,13
G1866m,13
G1956,13
G1999,13
G2162,13
G2237,13
G2241,13
G2292,13
G2301,13
G2302,13
G2418,13
G2615,13
G262,13
G2657,13
G26,13
G2727,13
G2766,13
G2959,13
G3057,13
G350m,13
G641m,13
G876m,13
G1268,14
G1269,14
G1323,14
G1329,14
G1355,14
G1366,14
G1465,14
G1542,14
G1633,14
G1702,14
G180m,14
G1819,14
G1857m,14
G1945,14
G1969,14
G2089,14
G209,14
G2104,14
G2184,14
G2203,14
G2245,14
G2308m,14
G2410,14
G242,14
G245m,14
G266,14
G2770,14
G2785,14
G2981,14
G428m,14
G467m,14
G468m,14
G558m,14
G559,14
G563,14
G651m,14
G665,14
G684m,14
G75,14
G863m,14
G1431,15
G1683,15
G1685,15
G1750,15
G1835,15
G1851,15
G186,15
G2185,15
G2470,15
G2471,15
G25,15
G2636,15
G2691,15
G3053,15
G960,15
