ID,cluster10snps
G1452,Cluster_129
G1866m,Cluster_129
G1946,Cluster_130
G152,Cluster_130
G314m,Cluster_130
G454m,Cluster_131
G1636,Cluster_131
G627m,Cluster_132
G1693,Cluster_132
G1661,Cluster_132
G2185,Cluster_133
G1835,Cluster_133
G2636,Cluster_133
G1851,Cluster_133
G1900,Cluster_134
G2080,Cluster_134
G84,Cluster_135
G474m,Cluster_135
G2730,Cluster_135
G1911,Cluster_135
G2290,Cluster_135
G2126,Cluster_136
G2759,Cluster_136
G26,Cluster_137
G2301,Cluster_137
G3057,Cluster_137
G2669,Cluster_138
G2684,Cluster_138
G1745m,Cluster_138
G2119,Cluster_138
G308m,Cluster_138
G307m,Cluster_138
G298m,Cluster_139
G2979,Cluster_139
G1644,Cluster_140
G830m,Cluster_140
G552m,Cluster_140
G1366,Cluster_141
G1969,Cluster_141
G1439,Cluster_142
G1778,Cluster_142
G94,Cluster_143
G1469,Cluster_143
G2105,Cluster_144
G125,Cluster_144
G1342,Cluster_144
G1792,Cluster_144
G1829,Cluster_144
G1676,Cluster_144
G147,Cluster_144
G192,Cluster_145
G1484m,Cluster_145
G1105m,Cluster_146
G176,Cluster_146
G1772,Cluster_146
G469m,Cluster_147
G2117,Cluster_147
G2237,Cluster_148
G1133m,Cluster_148
G2241,Cluster_148
G583m,Cluster_149
G1018,Cluster_149
G24,Cluster_149
G1274,Cluster_150
G1107,Cluster_150
G126,Cluster_151
G2491,Cluster_151
G209,Cluster_152
G2410,Cluster_152
G2184,Cluster_152
G1857m,Cluster_152
G2177,Cluster_153
G1992,Cluster_153
G2466,Cluster_153
G2476,Cluster_153
G2459m,Cluster_153
G2458m,Cluster_153
G782m,Cluster_154
G2044,Cluster_154
G1192,Cluster_154
G2037,Cluster_154
G2138,Cluster_155
G977,Cluster_155
G832m,Cluster_156
G675,Cluster_156
G1347,Cluster_157
G2266,Cluster_157
G322m,Cluster_158
G1708,Cluster_158
G2264,Cluster_159
G2407,Cluster_159
G2785,Cluster_160
G665,Cluster_160
G684m,Cluster_160
G1318,Cluster_161
G1316,Cluster_161
G1908,Cluster_162
G1422,Cluster_162
G2481,Cluster_162
G2483m,Cluster_162
G975,Cluster_163
G1543,Cluster_163
G2026,Cluster_164
G3060,Cluster_164
G1849m,Cluster_164
G2016,Cluster_164
G768m,Cluster_164
G1518,Cluster_164
G2295,Cluster_164
G2298,Cluster_164
G1731,Cluster_165
G2314,Cluster_165
G2125,Cluster_165
G2176m,Cluster_165
G2965,Cluster_165
G2867,Cluster_166
G1322,Cluster_166
G2199,Cluster_166
G233,Cluster_166
G1065,Cluster_166
G2168,Cluster_167
G1367,Cluster_167
G1464,Cluster_168
G862m,Cluster_168
G545m,Cluster_169
G1701,Cluster_169
G919,Cluster_170
G2165,Cluster_170
G2220,Cluster_171
G950,Cluster_171
G1855m,Cluster_172
G1577,Cluster_172
G2215,Cluster_172
G1246,Cluster_172
G04,Cluster_172
G145,Cluster_172
G1308,Cluster_172
G258,Cluster_172
G1012,Cluster_173
G1000,Cluster_173
G111,Cluster_174
G2194,Cluster_174
G1303,Cluster_175
G917,Cluster_175
G623m,Cluster_175
G778m,Cluster_175
G1898,Cluster_176
G1822,Cluster_176
G467m,Cluster_177
G242,Cluster_177
G2435,Cluster_178
G356m,Cluster_178
G470m,Cluster_178
G2451,Cluster_178
G2198,Cluster_179
G1099,Cluster_179
G2041,Cluster_179
G2475,Cluster_179
G2498m,Cluster_179
G2036,Cluster_179
G553m,Cluster_179
G2049,Cluster_179
G401m,Cluster_179
G1288m,Cluster_179
G2197m,Cluster_179
G566m,Cluster_179
G1163,Cluster_179
G2193,Cluster_179
G368m,Cluster_179
G2201,Cluster_179
G2038,Cluster_179
G1411,Cluster_179
G888,Cluster_180
G2836,Cluster_180
G108,Cluster_181
G1350,Cluster_181
G1839,Cluster_181
G2271,Cluster_181
G99,Cluster_181
G1320,Cluster_181
G260,Cluster_181
G2248,Cluster_181
