DATASET_COLORSTRIP,,
SEPARATOR COMMA,,
DATASET_LABEL, fastlvl1,
G1476,#1f78b4,2
G1487,#1f78b4,2
G1489,#1f78b4,2
G1496,#1f78b4,2
G1497,#1f78b4,2
G1499,#1f78b4,2
G1518,#1f78b4,2
G152,#1f78b4,2
G1530,#1f78b4,2
G1537,#1f78b4,2
G1544,#1f78b4,2
G1557,#1f78b4,2
G1558,#1f78b4,2
G1570,#1f78b4,2
G1571,#1f78b4,2
G1577,#1f78b4,2
G1578,#1f78b4,2
G1583,#1f78b4,2
G1585,#1f78b4,2
G1603,#1f78b4,2
G1604,#1f78b4,2
G1610,#1f78b4,2
G1614,#1f78b4,2
G1615m,#1f78b4,2
G1617,#1f78b4,2
G1630,#1f78b4,2
G164,#1f78b4,2
G1654,#1f78b4,2
G1661,#1f78b4,2
G1671,#1f78b4,2
G1687,#1f78b4,2
G168,#1f78b4,2
G1693,#1f78b4,2
G1701,#1f78b4,2
G1704,#1f78b4,2
G1715,#1f78b4,2
G1725,#1f78b4,2
G1728,#1f78b4,2
G1731,#1f78b4,2
G1732,#1f78b4,2
G1739,#1f78b4,2
G1741,#1f78b4,2
G1743,#1f78b4,2
G1745m,#1f78b4,2
G1756m,#1f78b4,2
G1763,#1f78b4,2
G1765,#1f78b4,2
G1767,#1f78b4,2
G1769,#1f78b4,2
G1774,#1f78b4,2
G1784,#1f78b4,2
G1786,#1f78b4,2
G1787,#1f78b4,2
G1801,#1f78b4,2
G1821,#1f78b4,2
G1823,#1f78b4,2
G1825,#1f78b4,2
G1827,#1f78b4,2
G1841,#1f78b4,2
G1849m,#1f78b4,2
G1850,#1f78b4,2
G1853,#1f78b4,2
G1854,#1f78b4,2
G1855m,#1f78b4,2
G1859,#1f78b4,2
G1862,#1f78b4,2
G1868m,#1f78b4,2
G1870,#1f78b4,2
G1885,#1f78b4,2
G1889,#1f78b4,2
G1907,#1f78b4,2
G190,#1f78b4,2
G191,#1f78b4,2
G1923,#1f78b4,2
G1934,#1f78b4,2
G1935,#1f78b4,2
G1938,#1f78b4,2
G1939,#1f78b4,2
G1940,#1f78b4,2
G1946,#1f78b4,2
G1948,#1f78b4,2
G1953,#1f78b4,2
G1958,#1f78b4,2
G1967,#1f78b4,2
G1968,#1f78b4,2
G1983m,#1f78b4,2
G1984,#1f78b4,2
G1985,#1f78b4,2
G1986,#1f78b4,2
G1989,#1f78b4,2
G1994,#1f78b4,2
G1998,#1f78b4,2
G2016,#1f78b4,2
G2017,#1f78b4,2
G201,#1f78b4,2
G2020,#1f78b4,2
G2023m,#1f78b4,2
G2026,#1f78b4,2
G2029,#1f78b4,2
G2031m,#1f78b4,2
G2033,#1f78b4,2
G2037,#1f78b4,2
G2039,#1f78b4,2
G2044,#1f78b4,2
G2048,#1f78b4,2
G2052,#1f78b4,2
G2062,#1f78b4,2
G2064,#1f78b4,2
G2065,#1f78b4,2
G2070,#1f78b4,2
G2071,#1f78b4,2
G2072,#1f78b4,2
G2074,#1f78b4,2
G2083,#1f78b4,2
G208,#1f78b4,2
G2092,#1f78b4,2
G2119,#1f78b4,2
G2125,#1f78b4,2
G212,#1f78b4,2
G2130,#1f78b4,2
G2133,#1f78b4,2
G2134,#1f78b4,2
G2137,#1f78b4,2
G213,#1f78b4,2
G2143,#1f78b4,2
G2144,#1f78b4,2
G2145,#1f78b4,2
G2147,#1f78b4,2
G2148m,#1f78b4,2
G214,#1f78b4,2
G2152,#1f78b4,2
G2155m,#1f78b4,2
G2173,#1f78b4,2
G2174,#1f78b4,2
G2176m,#1f78b4,2
G2180,#1f78b4,2
G2186,#1f78b4,2
G2187,#1f78b4,2
G2188,#1f78b4,2
G2196,#1f78b4,2
G2200,#1f78b4,2
G2209,#1f78b4,2
G2211,#1f78b4,2
G2215,#1f78b4,2
G2222,#1f78b4,2
G2246,#1f78b4,2
G2249,#1f78b4,2
G2258,#1f78b4,2
G2259,#1f78b4,2
G2261,#1f78b4,2
G2267,#1f78b4,2
G2273,#1f78b4,2
G2289,#1f78b4,2
G2291,#1f78b4,2
G2293,#1f78b4,2
G2295,#1f78b4,2
G2296,#1f78b4,2
G2298,#1f78b4,2
G2305,#1f78b4,2
G2312,#1f78b4,2
G2313,#1f78b4,2
G2314,#1f78b4,2
G2316,#1f78b4,2
G2318,#1f78b4,2
G2319,#1f78b4,2
G2338,#1f78b4,2
G2345,#1f78b4,2
G2347,#1f78b4,2
G2371m,#1f78b4,2
G2415,#1f78b4,2
G2416,#1f78b4,2
G2436,#1f78b4,2
G243,#1f78b4,2
G2443,#1f78b4,2
G2460,#1f78b4,2
G2468,#1f78b4,2
G246,#1f78b4,2
G2478,#1f78b4,2
G2485,#1f78b4,2
G2491,#1f78b4,2
G2512,#1f78b4,2
G2534,#1f78b4,2
G2547,#1f78b4,2
G2567,#1f78b4,2
G2580,#1f78b4,2
G258,#1f78b4,2
G259,#1f78b4,2
G2602,#1f78b4,2
G2607,#1f78b4,2
G2631,#1f78b4,2
G2632,#1f78b4,2
G2641,#1f78b4,2
G2653,#1f78b4,2
G2654,#1f78b4,2
G2661,#1f78b4,2
G2669,#1f78b4,2
G2671,#1f78b4,2
G2684,#1f78b4,2
G2695,#1f78b4,2
G2704,#1f78b4,2
G2706,#1f78b4,2
G2707,#1f78b4,2
G2755,#1f78b4,2
G2779,#1f78b4,2
G2780,#1f78b4,2
G2789,#1f78b4,2
G278m,#1f78b4,2
G2796,#1f78b4,2
G2798Lib2,#1f78b4,2
G2801,#1f78b4,2
G2805,#1f78b4,2
G2809,#1f78b4,2
G280,#1f78b4,2
G2812,#1f78b4,2
G2817,#1f78b4,2
G2822,#1f78b4,2
G2843,#1f78b4,2
G2874,#1f78b4,2
G2894,#1f78b4,2
G2912,#1f78b4,2
G2920,#1f78b4,2
G2921,#1f78b4,2
G2965,#1f78b4,2
G2970,#1f78b4,2
G2971,#1f78b4,2
G2978,#1f78b4,2
G2982,#1f78b4,2
G2986,#1f78b4,2
G3003,#1f78b4,2
G3060,#1f78b4,2
G3062,#1f78b4,2
G307m,#1f78b4,2
G308m,#1f78b4,2
G313m,#1f78b4,2
G314m,#1f78b4,2
G334,#1f78b4,2
G357m,#1f78b4,2
G453m,#1f78b4,2
G459m,#1f78b4,2
G460,#1f78b4,2
G463m,#1f78b4,2
G478m,#1f78b4,2
G486,#1f78b4,2
G501m,#1f78b4,2
G525m,#1f78b4,2
G536m,#1f78b4,2
G545m,#1f78b4,2
G548,#1f78b4,2
G561m,#1f78b4,2
G570,#1f78b4,2
G579,#1f78b4,2
G60,#1f78b4,2
G621m,#1f78b4,2
G623m,#1f78b4,2
G627m,#1f78b4,2
G634m,#1f78b4,2
G637m,#1f78b4,2
G63,#1f78b4,2
G642,#1f78b4,2
G669,#1f78b4,2
G67m,#1f78b4,2
G682,#1f78b4,2
G693m,#1f78b4,2
G694m,#1f78b4,2
G733,#1f78b4,2
G757m,#1f78b4,2
G764m,#1f78b4,2
G768m,#1f78b4,2
G778m,#1f78b4,2
G77,#1f78b4,2
G782m,#1f78b4,2
G78,#1f78b4,2
G824m,#1f78b4,2
G826m,#1f78b4,2
G856m,#1f78b4,2
G873m,#1f78b4,2
G879m,#1f78b4,2
G882m,#1f78b4,2
G901,#1f78b4,2
G917,#1f78b4,2
G91,#1f78b4,2
G922,#1f78b4,2
G924,#1f78b4,2
G937,#1f78b4,2
G945,#1f78b4,2
